id,status,title,size,description,price,sale_price,availability,condition,material,brand,additional_image_link,google_product_category,link,image_link
4,active,Liberté enragé no 2 2019,24x36,Acrylic Painting,900 CAD,850 CAD,out of stock,new,Acrylic Paint,ap__unrooter_anger_no_2__24x36__191109_IMG_0028,,5710,https://www.artpal.com/jgisabelleart?i=242823-4,https://guillaumeisabelle.com/img/acrylics-painting/mn/ap__unrooter_anger_no_2__24x36__191109_IMG_0028.jpg
5,active,Wirly 2019,16x20,Acrylic Painting,160 CAD,150 CAD,in stock,new,Acrylic Paint,ap__wirly__16x20__191110,,5710,https://www.artpal.com/jgisabelleart?i=242823-5,https://guillaumeisabelle.com/img/acrylics-painting/mn/ap__wirly__16x20__191110.jpg
1,active,Articol no 1,20X24,"Peinture acrylique fabriqué avec un nouveau médium collaboratif qui se resource dans l'intelligence artificielle (IA). 
Cet ajout à mon processus me permet d'explorer au préalable de l'acte de peindre, des lieux créatifs. 
Ces derniers ne sont accessible que dans le nouveau paradigme de traitement de données avec l'IA.",400 CAD,300 CAD,in stock,new,Acrylic Paint,ap_articol_no_01__20x24__220320,,5710,https://www.artpal.com/jgisabelleart?i=242823-1,https://guillaumeisabelle.com/img/acrylics-painting/mn/ap_articol_no_01__20x24__220320.jpg
2,active,Laax no 2 / 2017,24x36,"Acrylic Painting produite pendant le cours ""Créer sa vie"". Exercise de créer en 30 minutes.Made during the course ""Life as Art"". 
30 min creating exercise.",600 CAD,500 CAD,in stock,new,Acrylic Paint,ap_laa_xno_2__24x36__191109,,5710,https://www.artpal.com/jgisabelleart?i=242823-2,https://guillaumeisabelle.com/img/acrylics-painting/mn/ap_laa_xno_2__24x36__191109.jpg
